folioviv,foliohog,entidad,ubica_geo
0100733201,1,01,01001
0100733202,1,01,01001
0100733203,1,01,01001
0100733204,1,01,01001
0100733205,1,01,01001
0100733206,1,01,01001
0100736201,1,01,01001
0100736202,1,01,01001
0100736203,1,01,01001
0100736204,1,01,01001
0100736205,1,01,01001
0100736206,1,01,01001
0100737501,1,01,01001
0100737502,1,01,01001
0100737503,1,01,01001
0100737504,1,01,01001
0100737505,1,01,01001
0100737506,1,01,01001
0100743301,1,01,01001
0100743302,1,01,01001
0100743303,1,01,01001
0100743304,1,01,01001
0100743305,1,01,01001
0100746901,1,01,01001
0100746902,1,01,01001
0100746903,1,01,01001
0100746904,1,01,01001
0100746906,1,01,01001
0100763801,1,01,01001
0100763801,2,01,01001
0100763803,1,01,01001
0100763804,1,01,01001
0100763805,1,01,01001
0100763806,1,01,01001
0100769401,1,01,01001
0100769401,2,01,01001
0100769402,1,01,01001
0100769403,1,01,01001
0100769404,1,01,01001
0100769405,1,01,01001
0100769406,1,01,01001
0100774501,1,01,01001
0100774503,1,01,01001
0100774504,1,01,01001
0100774505,1,01,01001
0100813301,1,01,01001
0100813302,1,01,01001
0100813303,1,01,01001
0100813304,1,01,01001
0100813305,1,01,01001
0100818901,1,01,01001
0100818902,1,01,01001
0100818903,1,01,01001
0100818904,1,01,01001
0100818905,1,01,01001
0100818906,1,01,01001
0100828801,1,01,01001
0100828802,1,01,01001
0100828803,1,01,01001
0100828805,1,01,01001
0100828806,1,01,01001
0100832401,1,01,01001
0100832402,1,01,01001
0100832403,1,01,01001
0100832404,1,01,01001
0100832405,1,01,01001
0100832406,1,01,01001
0100836001,1,01,01001
0100836002,1,01,01001
0100836003,1,01,01001
0100836004,1,01,01001
0100836005,1,01,01001
0100844601,1,01,01001
0100844603,1,01,01001
0100844604,1,01,01001
0100844605,1,01,01001
0100844606,1,01,01001
0100851701,1,01,01001
0100851702,1,01,01001
0100851704,1,01,01001
0100851705,1,01,01001
0100854201,1,01,01001
0100854202,1,01,01001
0100854204,1,01,01001
0100854205,1,01,01001
0100854206,1,01,01001
0100857501,1,01,01001
0100857503,1,01,01001
0100857505,1,01,01001
0100857506,1,01,01001
0100860301,1,01,01001
0100860302,1,01,01001
0100860303,1,01,01001
0100860305,1,01,01001
0100860306,1,01,01001
0100862901,1,01,01001
0100862902,1,01,01001
0100862903,1,01,01001
0100862904,1,01,01001
0100862905,1,01,01001
0100862906,1,01,01001
0100874002,1,01,01001
0100874003,1,01,01001
0100874005,1,01,01001
0100874006,1,01,01001
0100874006,2,01,01001
0100886601,1,01,01001
0100886602,1,01,01001
0100886603,1,01,01001
0100886605,1,01,01001
0100890902,1,01,01001
0100890903,1,01,01001
0100890905,1,01,01001
0100906802,1,01,01001
0100906803,1,01,01001
0100906804,1,01,01001
0100906805,1,01,01001
0100915401,1,01,01001
0100915402,1,01,01001
0100915404,1,01,01001
0100915405,1,01,01001
0100915406,1,01,01001
0100915406,2,01,01001
0100957802,1,01,01001
0100957803,1,01,01001
0100957804,1,01,01001
0100957805,1,01,01001
0100957806,1,01,01001
0100961702,1,01,01001
0100961703,1,01,01001
0100961704,1,01,01001
0100961705,1,01,01001
0100961706,1,01,01001
0100983002,1,01,01001
0100983004,1,01,01001
0100983005,1,01,01001
0100984601,1,01,01001
