"folioviv","entidad","gasto_agua_tot","tot_integ"
101014203,"Aguascalientes",525,6
101014204,"Aguascalientes",840,4
101014205,"Aguascalientes",246,2
101014206,"Aguascalientes",1500,3
101025501,"Aguascalientes",492,5
101025502,"Aguascalientes",600,5
101025503,"Aguascalientes",900,3
101025504,"Aguascalientes",540,3
101025505,"Aguascalientes",627,4
101025506,"Aguascalientes",1380,8
101026301,"Aguascalientes",759,4
101026302,"Aguascalientes",1020,2
101026303,"Aguascalientes",267.09,2
101026303,"Aguascalientes",414,5
101026304,"Aguascalientes",495,3
101026305,"Aguascalientes",900,6
101026306,"Aguascalientes",450,4
101032901,"Aguascalientes",540,3
101032902,"Aguascalientes",504,2
101032903,"Aguascalientes",807,3
101032904,"Aguascalientes",1131,5
101032905,"Aguascalientes",780,3
101063801,"Aguascalientes",600,4
101063802,"Aguascalientes",660,4
101063803,"Aguascalientes",627,3
101063804,"Aguascalientes",900,7
101063805,"Aguascalientes",750,6
101063806,"Aguascalientes",540,5
101067401,"Aguascalientes",414,2
101067402,"Aguascalientes",525,3
101067403,"Aguascalientes",900,6
101067404,"Aguascalientes",600,6
101083001,"Aguascalientes",1884.19,1
101083002,"Aguascalientes",600,5
101083003,"Aguascalientes","NA",7
101083004,"Aguascalientes",3000,5
101083005,"Aguascalientes",570,6
101083006,"Aguascalientes",540,6
101086601,"Aguascalientes",558,2
101086602,"Aguascalientes","NA",2
101086603,"Aguascalientes",1110,5
101086604,"Aguascalientes",600,4
101086605,"Aguascalientes",540,2
101086606,"Aguascalientes",900,4
101096701,"Aguascalientes",960,4
101096702,"Aguascalientes",624,7
101096703,"Aguascalientes",735,3
101096704,"Aguascalientes",900,3
101096705,"Aguascalientes","NA",2
101096706,"Aguascalientes",1200,6
101103201,"Aguascalientes",720,2
101103202,"Aguascalientes",252,5
101103203,"Aguascalientes",2400,11
101103204,"Aguascalientes",500,3
101103205,"Aguascalientes",990,7
101113701,"Aguascalientes",750,2
101113702,"Aguascalientes",600,4
101113703,"Aguascalientes",870,5
101113704,"Aguascalientes",960,5
101113705,"Aguascalientes",780,3
101113706,"Aguascalientes",750,7
101115201,"Aguascalientes",900,5
101115202,"Aguascalientes",540,2
101115204,"Aguascalientes",900,4
101115205,"Aguascalientes",480,3
101115206,"Aguascalientes",948,4
101135501,"Aguascalientes",690,2
101135502,"Aguascalientes",750,5
101135503,"Aguascalientes",450,3
101135504,"Aguascalientes",780,3
101135505,"Aguascalientes",1350,7
101135506,"Aguascalientes",336,4
101152301,"Aguascalientes",561,6
101152302,"Aguascalientes",645,4
101152303,"Aguascalientes",495,4
101152304,"Aguascalientes",495,3
101152305,"Aguascalientes",495,2
101152306,"Aguascalientes",780,4
101173901,"Aguascalientes",480,2
101173902,"Aguascalientes",780,8
101173903,"Aguascalientes",840,4
101173904,"Aguascalientes",540,3
101173906,"Aguascalientes",510,4
101175801,"Aguascalientes",984,4
101175802,"Aguascalientes",675,4
101175805,"Aguascalientes",690,3
101175806,"Aguascalientes",1080,6
101200501,"Aguascalientes","NA",2
101200501,"Aguascalientes",870,5
101200502,"Aguascalientes","NA",7
101200504,"Aguascalientes",780,4
101200505,"Aguascalientes",645,4
101204301,"Aguascalientes",1050,6
101204302,"Aguascalientes",2700,5
101204303,"Aguascalientes",900,4
101204304,"Aguascalientes",789,4
101204305,"Aguascalientes",2700,1
101204306,"Aguascalientes",396,4
101206401,"Aguascalientes",750,4
101206402,"Aguascalientes",501,4
101206403,"Aguascalientes",450,1
101206404,"Aguascalientes",1200,3
101206405,"Aguascalientes",600,3
101215001,"Aguascalientes",540,9
101215003,"Aguascalientes",330,2
101215004,"Aguascalientes",510,3
101215005,"Aguascalientes","NA",4
101215006,"Aguascalientes",330,1
101218601,"Aguascalientes",534,5
101218602,"Aguascalientes",2100,4
101218603,"Aguascalientes",1110,6
101218604,"Aguascalientes",600,4
101218605,"Aguascalientes",690,4
101218606,"Aguascalientes",750,4
101228901,"Aguascalientes",2400,5
101228903,"Aguascalientes",1140,5
101228904,"Aguascalientes",750,3
101228905,"Aguascalientes",510,5
101228906,"Aguascalientes",840,3
101233701,"Aguascalientes",750,4
101233702,"Aguascalientes",1140,4
101233703,"Aguascalientes",990,4
101233704,"Aguascalientes",540,4
101233705,"Aguascalientes",600,4
101233706,"Aguascalientes",1380,5
101251801,"Aguascalientes",705,4
101251802,"Aguascalientes",519,4
101251803,"Aguascalientes",534,1
101251804,"Aguascalientes",528,2
101251805,"Aguascalientes",1200,5
101251806,"Aguascalientes",1200,7
101262402,"Aguascalientes",600,5
101262403,"Aguascalientes",750,10
101262404,"Aguascalientes",720,4
101262405,"Aguascalientes",510,4
101263001,"Aguascalientes",1800,6
101263002,"Aguascalientes",570,5
101263003,"Aguascalientes",480,1
101263004,"Aguascalientes",450,4
101263005,"Aguascalientes",510,3
101263006,"Aguascalientes",540,2
101300201,"Aguascalientes",405,1
101300202,"Aguascalientes",690,6
101300203,"Aguascalientes",360,2
101300204,"Aguascalientes",531,2
101300205,"Aguascalientes",690,3
101300206,"Aguascalientes",660,3
101319201,"Aguascalientes",780,5
101319202,"Aguascalientes",420,2
101319203,"Aguascalientes",849,1
101319204,"Aguascalientes",540,4
101319206,"Aguascalientes",750,6
101329501,"Aguascalientes",660,4
101329502,"Aguascalientes",300,3
101329503,"Aguascalientes",900,7
101329504,"Aguascalientes",1152,5
101329506,"Aguascalientes",450,4
101345301,"Aguascalientes","NA",11
101345301,"Aguascalientes","NA",3
101345302,"Aguascalientes",630,2
101345303,"Aguascalientes","NA",4
101345304,"Aguascalientes",480,5
